Date,NSIDC SMAP/Sentinel 1Km: avg, NSIDC SMAP/Sentinel 1Km: avg Percent of AOI with data
2016-10-20 00:00:00,null,0.00,
2016-10-21 00:00:00,0.272,81.28,
2016-10-22 00:00:00,null,0.00,
2016-10-23 00:00:00,null,0.00,
2016-10-24 00:00:00,null,0.00,
2016-10-25 00:00:00,null,0.00,
2016-10-26 00:00:00,0.241,6.15,
2016-10-27 00:00:00,null,0.00,
2016-10-28 00:00:00,null,0.00,
2016-10-29 00:00:00,null,0.00,
2016-10-30 00:00:00,null,0.00,
2016-10-31 00:00:00,0.244,78.34,
2016-11-1 00:00:00,null,0.00,
2016-11-2 00:00:00,null,0.00,
2016-11-3 00:00:00,null,0.00,
2016-11-4 00:00:00,null,0.00,
2016-11-5 00:00:00,null,0.00,
2016-11-6 00:00:00,null,0.00,
2016-11-7 00:00:00,null,0.00,
2016-11-8 00:00:00,0.209,6.16,
2016-11-9 00:00:00,null,0.00,
2016-11-10 00:00:00,null,0.00,
2016-11-11 00:00:00,null,0.00,
2016-11-12 00:00:00,null,0.00,
2016-11-13 00:00:00,null,0.00,
2016-11-14 00:00:00,0.234,76.15,
2016-11-15 00:00:00,null,0.00,
2016-11-16 00:00:00,null,0.00,
2016-11-17 00:00:00,null,0.00,
2016-11-18 00:00:00,null,0.00,
2016-11-19 00:00:00,0.202,6.17,
2016-11-20 00:00:00,null,0.00,
2016-11-21 00:00:00,null,0.00,
2016-11-22 00:00:00,null,0.00,
2016-11-23 00:00:00,null,0.00,
2016-11-24 00:00:00,null,0.00,
2016-11-25 00:00:00,null,0.00,
2016-11-26 00:00:00,null,0.00,
2016-11-27 00:00:00,null,0.00,
2016-11-28 00:00:00,null,0.00,
2016-11-29 00:00:00,null,0.00,
2016-11-30 00:00:00,null,0.00,
2016-12-1 00:00:00,null,0.00,
2016-12-2 00:00:00,0.191,6.19,
2016-12-3 00:00:00,null,0.00,
2016-12-4 00:00:00,null,0.00,
2016-12-5 00:00:00,null,0.00,
2016-12-6 00:00:00,null,0.00,
2016-12-7 00:00:00,null,0.00,
2016-12-8 00:00:00,0.218,75.84,
2016-12-9 00:00:00,null,0.00,
2016-12-10 00:00:00,null,0.00,
2016-12-11 00:00:00,null,0.00,
2016-12-12 00:00:00,null,0.00,
2016-12-13 00:00:00,0.172,6.05,
2016-12-14 00:00:00,null,0.00,
2016-12-15 00:00:00,null,0.00,
2016-12-16 00:00:00,null,0.00,
2016-12-17 00:00:00,null,0.00,
2016-12-18 00:00:00,null,0.00,
2016-12-19 00:00:00,0.242,46.41,
2016-12-20 00:00:00,null,0.00,
2016-12-21 00:00:00,null,0.00,
2016-12-22 00:00:00,null,0.00,
2016-12-23 00:00:00,null,0.00,
2016-12-24 00:00:00,null,0.00,
2016-12-25 00:00:00,null,0.00,
2016-12-26 00:00:00,0.185,6.18,
2016-12-27 00:00:00,null,0.00,
2016-12-28 00:00:00,null,0.00,
2016-12-29 00:00:00,null,0.00,
2016-12-30 00:00:00,null,0.00,
2017-1-2 00:00:00,null,0.00,
2017-1-3 00:00:00,null,0.00,
2017-1-4 00:00:00,null,0.00,
2017-1-5 00:00:00,null,0.00,
2017-1-6 00:00:00,0.196,6.16,
2017-1-7 00:00:00,null,0.00,
2017-1-8 00:00:00,null,0.00,
2017-1-9 00:00:00,null,0.00,
2017-1-10 00:00:00,null,0.00,
2017-1-11 00:00:00,null,0.00,
2017-1-12 00:00:00,0.256,42.07,
2017-1-13 00:00:00,null,0.00,
2017-1-14 00:00:00,null,0.00,
2017-1-15 00:00:00,null,0.00,
2017-1-16 00:00:00,null,0.00,
2017-1-17 00:00:00,null,0.00,
2017-1-18 00:00:00,null,0.00,
2017-1-19 00:00:00,0.200,6.16,
2017-1-20 00:00:00,null,0.00,
2017-1-21 00:00:00,null,0.00,
2017-1-22 00:00:00,null,0.00,
2017-1-23 00:00:00,null,0.00,
2017-1-24 00:00:00,null,0.00,
2017-1-25 00:00:00,0.228,70.60,
2017-1-26 00:00:00,null,0.00,
2017-1-27 00:00:00,null,0.00,
2017-1-28 00:00:00,null,0.00,
2017-1-29 00:00:00,null,0.00,
2017-1-30 00:00:00,null,0.00,
2017-1-31 00:00:00,null,0.00,
2017-2-1 00:00:00,null,0.00,
2017-2-2 00:00:00,null,0.00,
2017-2-3 00:00:00,null,0.00,
2017-2-4 00:00:00,null,0.00,
2017-2-5 00:00:00,0.248,41.97,
2017-2-6 00:00:00,null,0.00,
2017-2-7 00:00:00,null,0.00,
2017-2-8 00:00:00,null,0.00,
2017-2-9 00:00:00,null,0.00,
2017-2-10 00:00:00,0.216,72.89,
2017-2-11 00:00:00,null,0.00,
2017-2-12 00:00:00,0.188,6.08,
2017-2-13 00:00:00,null,0.00,
2017-2-14 00:00:00,null,0.00,
2017-2-15 00:00:00,0.244,37.56,
2017-2-16 00:00:00,null,0.00,
2017-2-17 00:00:00,null,0.00,
2017-2-18 00:00:00,null,0.00,
2017-2-19 00:00:00,null,0.00,
2017-2-20 00:00:00,0.187,74.26,
2017-2-21 00:00:00,null,0.00,
2017-2-22 00:00:00,null,0.00,
2017-2-23 00:00:00,0.177,27.22,
2017-2-24 00:00:00,null,0.00,
2017-2-25 00:00:00,null,0.00,
2017-2-26 00:00:00,0.220,37.56,
2017-2-27 00:00:00,null,0.00,
2017-2-28 00:00:00,null,0.00,
2017-3-1 00:00:00,0.204,43.85,
2017-3-2 00:00:00,null,0.00,
2017-3-3 00:00:00,null,0.00,
2017-3-4 00:00:00,null,0.00,
2017-3-5 00:00:00,null,0.00,
2017-3-6 00:00:00,0.193,72.67,
2017-3-7 00:00:00,null,0.00,
2017-3-8 00:00:00,0.152,26.04,
2017-3-9 00:00:00,null,0.00,
2017-3-10 00:00:00,null,0.00,
2017-3-11 00:00:00,0.359,37.72,
2017-3-12 00:00:00,null,0.00,
2017-3-13 00:00:00,null,0.00,
2017-3-14 00:00:00,0.273,76.14,
2017-3-15 00:00:00,null,0.00,
2017-3-16 00:00:00,0.238,73.79,
2017-3-17 00:00:00,null,0.00,
2017-3-18 00:00:00,null,0.00,
2017-3-19 00:00:00,0.214,27.14,
2017-3-20 00:00:00,null,0.00,
2017-3-21 00:00:00,null,0.00,
2017-3-22 00:00:00,0.254,37.70,
2017-3-23 00:00:00,null,0.00,
2017-3-24 00:00:00,null,0.00,
2017-3-25 00:00:00,0.281,50.06,
2017-3-26 00:00:00,null,0.00,
2017-3-27 00:00:00,null,0.00,
2017-3-28 00:00:00,null,0.00,
2017-3-29 00:00:00,null,0.00,
2017-3-30 00:00:00,null,0.00,
2017-3-31 00:00:00,null,0.00,
2017-4-1 00:00:00,0.193,29.89,
2017-4-2 00:00:00,0.264,36.47,
2017-4-3 00:00:00,null,0.00,
2017-4-4 00:00:00,null,0.00,
2017-4-5 00:00:00,null,0.00,
2017-4-6 00:00:00,null,0.00,
2017-4-7 00:00:00,0.230,79.35,
2017-4-8 00:00:00,null,0.00,
2017-4-9 00:00:00,0.233,76.20,
2017-4-10 00:00:00,null,0.00,
2017-4-11 00:00:00,null,0.00,
2017-4-12 00:00:00,0.169,27.45,
2017-4-13 00:00:00,null,0.00,
2017-4-14 00:00:00,null,0.00,
2017-4-15 00:00:00,0.258,37.38,
2017-4-16 00:00:00,null,0.00,
2017-4-17 00:00:00,null,0.00,
2017-4-18 00:00:00,0.223,49.54,
2017-4-19 00:00:00,null,0.00,
2017-4-20 00:00:00,null,0.00,
2017-4-21 00:00:00,null,0.00,
2017-4-24 00:00:00,null,0.00,
2017-4-25 00:00:00,0.233,30.23,
2017-4-26 00:00:00,null,0.00,
2017-4-27 00:00:00,null,0.00,
2017-4-28 00:00:00,0.247,37.68,
2017-4-29 00:00:00,null,0.00,
2017-4-30 00:00:00,null,0.00,
2017-5-1 00:00:00,0.243,82.06,
2017-5-2 00:00:00,null,0.00,
2017-5-3 00:00:00,0.245,74.77,
2017-5-4 00:00:00,null,0.00,
2017-5-5 00:00:00,null,0.00,
2017-5-6 00:00:00,0.224,29.08,
2017-5-7 00:00:00,null,0.00,
2017-5-8 00:00:00,null,0.00,
2017-5-9 00:00:00,0.358,37.70,
2017-5-10 00:00:00,null,0.00,
2017-5-11 00:00:00,null,0.00,
2017-5-12 00:00:00,0.285,54.11,
2017-5-13 00:00:00,null,0.00,
2017-5-14 00:00:00,null,0.00,
2017-5-15 00:00:00,null,0.00,
2017-5-16 00:00:00,null,0.00,
2017-5-17 00:00:00,0.259,78.85,
2017-5-18 00:00:00,null,0.00,
2017-5-19 00:00:00,0.213,31.14,
2017-5-20 00:00:00,null,0.00,
2017-5-21 00:00:00,null,0.00,
2017-5-22 00:00:00,0.258,37.74,
2017-5-23 00:00:00,null,0.00,
2017-5-24 00:00:00,null,0.00,
2017-5-25 00:00:00,0.219,83.99,
2017-5-26 00:00:00,null,0.00,
2017-5-27 00:00:00,0.315,43.23,
2017-5-28 00:00:00,0.259,26.52,
2017-5-29 00:00:00,null,0.00,
2017-5-30 00:00:00,0.219,32.22,
2017-5-31 00:00:00,null,0.00,
2017-6-1 00:00:00,null,0.00,
2017-6-2 00:00:00,0.274,37.81,
2017-6-3 00:00:00,null,0.00,
2017-6-4 00:00:00,null,0.00,
2017-6-5 00:00:00,0.231,59.25,
2017-6-6 00:00:00,null,0.00,
2017-6-7 00:00:00,null,0.00,
2017-6-8 00:00:00,null,0.00,
2017-6-9 00:00:00,null,0.00,
2017-6-10 00:00:00,0.287,82.74,
2017-6-11 00:00:00,null,0.00,
2017-6-12 00:00:00,0.269,32.91,
2017-6-13 00:00:00,0.262,37.88,
2017-6-14 00:00:00,null,0.00,
2017-6-15 00:00:00,null,0.00,
2017-6-16 00:00:00,null,0.00,
2017-6-17 00:00:00,null,0.00,
2017-6-18 00:00:00,0.268,84.64,
2017-6-19 00:00:00,null,0.00,
2017-6-20 00:00:00,null,0.00,
2017-6-21 00:00:00,null,0.00,
2017-6-22 00:00:00,null,0.00,
2017-6-23 00:00:00,0.255,32.59,
2017-6-24 00:00:00,null,0.00,
2017-6-25 00:00:00,null,0.00,
2017-6-26 00:00:00,0.297,37.88,
2017-6-27 00:00:00,null,0.00,
2017-6-28 00:00:00,null,0.00,
2017-6-29 00:00:00,0.290,59.39,
2017-6-30 00:00:00,null,0.00,
2017-7-1 00:00:00,null,0.00,
2017-7-2 00:00:00,null,0.00,
2017-7-3 00:00:00,null,0.00,
2017-7-4 00:00:00,0.343,81.42,
2017-7-5 00:00:00,null,0.00,
2017-7-6 00:00:00,0.313,32.58,
2017-7-7 00:00:00,null,0.00,
2017-7-8 00:00:00,null,0.00,
2017-7-9 00:00:00,0.412,37.74,
2017-7-10 00:00:00,null,0.00,
2017-7-11 00:00:00,null,0.00,
2017-7-12 00:00:00,0.380,82.90,
2017-7-13 00:00:00,null,0.00,
2017-7-14 00:00:00,0.386,42.67,
2017-7-15 00:00:00,0.347,29.52,
2017-7-16 00:00:00,null,0.00,
2017-7-17 00:00:00,null,0.00,
2017-7-18 00:00:00,null,0.00,
2017-7-19 00:00:00,null,0.00,
2017-7-20 00:00:00,0.380,37.78,
2017-7-21 00:00:00,null,0.00,
2017-7-22 00:00:00,null,0.00,
2017-7-23 00:00:00,0.368,60.33,
2017-7-24 00:00:00,null,0.00,
2017-7-25 00:00:00,null,0.00,
2017-7-26 00:00:00,null,0.00,
2017-7-27 00:00:00,null,0.00,
2017-7-28 00:00:00,null,0.00,
2017-7-29 00:00:00,null,0.00,
2017-7-30 00:00:00,0.342,32.12,
2017-7-31 00:00:00,null,0.00,
2017-8-1 00:00:00,null,0.00,
2017-8-2 00:00:00,0.388,37.66,
2017-8-3 00:00:00,null,0.00,
2017-8-4 00:00:00,null,0.00,
2017-8-5 00:00:00,0.374,83.26,
2017-8-6 00:00:00,null,0.00,
2017-8-7 00:00:00,0.365,82.31,
2017-8-8 00:00:00,null,0.00,
2017-8-9 00:00:00,null,0.00,
2017-8-10 00:00:00,0.332,31.90,
2017-8-11 00:00:00,null,0.00,
2017-8-12 00:00:00,null,0.00,
2017-8-13 00:00:00,0.430,37.07,
2017-8-14 00:00:00,null,0.00,
2017-8-15 00:00:00,null,0.00,
2017-8-16 00:00:00,0.386,54.07,
2017-8-17 00:00:00,null,0.00,
2017-8-18 00:00:00,null,0.00,
2017-8-19 00:00:00,null,0.00,
2017-8-20 00:00:00,null,0.00,
2017-8-21 00:00:00,0.359,82.82,
2017-8-22 00:00:00,null,0.00,
2017-8-23 00:00:00,null,0.00,
2017-8-24 00:00:00,null,0.00,
2017-8-25 00:00:00,null,0.00,
2017-8-26 00:00:00,0.385,37.61,
2017-8-27 00:00:00,null,0.00,
2017-8-28 00:00:00,null,0.00,
2017-8-29 00:00:00,0.345,84.13,
2017-8-30 00:00:00,null,0.00,
2017-8-31 00:00:00,0.342,82.67,
2017-9-1 00:00:00,null,0.00,
2017-9-2 00:00:00,null,0.00,
2017-9-3 00:00:00,0.332,32.33,
2017-9-4 00:00:00,null,0.00,
2017-9-5 00:00:00,null,0.00,
2017-9-6 00:00:00,0.370,37.79,
2017-9-7 00:00:00,null,0.00,
2017-9-8 00:00:00,null,0.00,
2017-9-9 00:00:00,0.331,49.64,
2017-9-10 00:00:00,null,0.00,
2017-9-11 00:00:00,null,0.00,
2017-9-12 00:00:00,null,0.00,
2017-9-13 00:00:00,null,0.00,
2017-9-14 00:00:00,0.321,83.15,
2017-9-15 00:00:00,null,0.00,
2017-9-16 00:00:00,0.291,32.61,
2017-9-17 00:00:00,null,0.00,
2017-9-18 00:00:00,null,0.00,
2017-9-19 00:00:00,0.333,37.71,
2017-9-20 00:00:00,null,0.00,
2017-9-21 00:00:00,null,0.00,
2017-9-22 00:00:00,0.343,84.55,
2017-9-23 00:00:00,null,0.00,
2017-9-24 00:00:00,0.321,82.90,
2017-9-25 00:00:00,null,0.00,
2017-9-26 00:00:00,null,0.00,
2017-9-27 00:00:00,0.278,32.78,
2017-9-28 00:00:00,null,0.00,
2017-9-29 00:00:00,null,0.00,
2017-9-30 00:00:00,0.351,37.59,
2017-10-1 00:00:00,null,0.00,
2017-10-2 00:00:00,null,0.00,
2017-10-3 00:00:00,0.314,49.10,
2017-10-4 00:00:00,null,0.00,
2017-10-5 00:00:00,null,0.00,
2017-10-6 00:00:00,null,0.00,
2017-10-7 00:00:00,null,0.00,
2017-10-8 00:00:00,0.273,83.65,
2017-10-9 00:00:00,null,0.00,
2017-10-10 00:00:00,0.256,32.73,
2017-10-11 00:00:00,null,0.00,
2017-10-12 00:00:00,null,0.00,
2017-10-13 00:00:00,0.279,15.83,
2017-10-14 00:00:00,null,0.00,
2017-10-15 00:00:00,null,0.00,
2017-10-16 00:00:00,0.256,85.19,
2017-10-17 00:00:00,null,0.00,
2017-10-18 00:00:00,0.242,83.45,
2017-10-19 00:00:00,null,0.00,
2017-10-20 00:00:00,null,0.00,
2017-10-21 00:00:00,null,0.00,
2017-10-22 00:00:00,null,0.00,
2017-10-23 00:00:00,null,0.00,
2017-10-24 00:00:00,0.280,37.60,
2017-10-25 00:00:00,null,0.00,
2017-10-26 00:00:00,null,0.00,
2017-10-27 00:00:00,0.248,50.30,
2017-10-28 00:00:00,null,0.00,
2017-10-29 00:00:00,null,0.00,
2017-10-30 00:00:00,null,0.00,
2017-10-31 00:00:00,null,0.00,
2017-11-1 00:00:00,0.255,79.09,
2017-11-2 00:00:00,null,0.00,
2017-11-5 00:00:00,null,0.00,
2017-11-6 00:00:00,null,0.00,
2017-11-7 00:00:00,null,0.00,
2017-11-8 00:00:00,null,0.00,
2017-11-9 00:00:00,0.242,82.61,
2017-11-10 00:00:00,null,0.00,
2017-11-11 00:00:00,null,0.00,
2017-11-12 00:00:00,null,0.00,
2017-11-13 00:00:00,null,0.00,
2017-11-14 00:00:00,0.209,28.43,
2017-11-15 00:00:00,null,0.00,
2017-11-16 00:00:00,null,0.00,
2017-11-17 00:00:00,0.258,37.83,
2017-11-18 00:00:00,null,0.00,
2017-11-19 00:00:00,null,0.00,
2017-11-20 00:00:00,0.236,52.05,
2017-11-21 00:00:00,null,0.00,
2017-11-22 00:00:00,null,0.00,
2017-11-23 00:00:00,null,0.00,
2017-11-24 00:00:00,null,0.00,
2017-11-25 00:00:00,0.214,74.99,
2017-11-26 00:00:00,null,0.00,
2017-11-27 00:00:00,0.192,27.02,
2017-11-28 00:00:00,null,0.00,
2017-11-29 00:00:00,null,0.00,
2017-11-30 00:00:00,0.232,37.47,
2017-12-1 00:00:00,null,0.00,
2017-12-2 00:00:00,null,0.00,
2017-12-3 00:00:00,0.221,77.86,
2017-12-4 00:00:00,null,0.00,
2017-12-5 00:00:00,0.211,77.65,
2017-12-6 00:00:00,null,0.00,
2017-12-7 00:00:00,null,0.00,
2017-12-8 00:00:00,0.186,28.47,
2017-12-9 00:00:00,null,0.00,
2017-12-10 00:00:00,null,0.00,
2017-12-11 00:00:00,0.245,15.99,
2017-12-12 00:00:00,null,0.00,
2017-12-13 00:00:00,null,0.00,
2017-12-14 00:00:00,0.236,53.22,
2017-12-15 00:00:00,null,0.00,
2017-12-16 00:00:00,null,0.00,
2017-12-17 00:00:00,null,0.00,
2017-12-18 00:00:00,null,0.00,
2017-12-19 00:00:00,0.202,75.07,
2017-12-20 00:00:00,null,0.00,
2017-12-21 00:00:00,0.184,27.54,
2017-12-22 00:00:00,null,0.00,
2017-12-23 00:00:00,null,0.00,
2017-12-24 00:00:00,0.247,37.59,
2017-12-25 00:00:00,null,0.00,
2017-12-26 00:00:00,null,0.00,
2017-12-27 00:00:00,0.230,75.61,
2017-12-28 00:00:00,null,0.00,
2017-12-29 00:00:00,0.209,43.41,
2017-12-30 00:00:00,0.228,23.25,
2017-12-31 00:00:00,null,0.00,
2018-1-1 00:00:00,0.186,25.43,
2018-1-2 00:00:00,null,0.00,
2018-1-3 00:00:00,null,0.00,
2018-1-4 00:00:00,0.254,36.38,
2018-1-5 00:00:00,null,0.00,
2018-1-6 00:00:00,null,0.00,
2018-1-7 00:00:00,0.244,48.53,
2018-1-8 00:00:00,null,0.00,
2018-1-9 00:00:00,null,0.00,
2018-1-10 00:00:00,null,0.00,
2018-1-11 00:00:00,null,0.00,
2018-1-12 00:00:00,0.212,76.59,
2018-1-13 00:00:00,null,0.00,
2018-1-14 00:00:00,0.191,26.30,
2018-1-15 00:00:00,null,0.00,
2018-1-16 00:00:00,null,0.00,
2018-1-17 00:00:00,0.242,37.13,
2018-1-18 00:00:00,null,0.00,
2018-1-19 00:00:00,null,0.00,
2018-1-20 00:00:00,0.233,76.48,
2018-1-21 00:00:00,null,0.00,
2018-1-22 00:00:00,0.204,72.99,
2018-1-23 00:00:00,null,0.00,
2018-1-24 00:00:00,null,0.00,
2018-1-25 00:00:00,0.228,25.55,
2018-1-26 00:00:00,null,0.00,
2018-1-27 00:00:00,null,0.00,
2018-1-28 00:00:00,0.254,37.12,
2018-1-29 00:00:00,null,0.00,
2018-1-30 00:00:00,null,0.00,
2018-1-31 00:00:00,0.226,49.71,
2018-2-1 00:00:00,null,0.00,
2018-2-2 00:00:00,null,0.00,
2018-2-3 00:00:00,null,0.00,
2018-2-4 00:00:00,null,0.00,
2018-2-5 00:00:00,0.212,72.11,
2018-2-6 00:00:00,null,0.00,
2018-2-7 00:00:00,0.185,26.84,
2018-2-8 00:00:00,null,0.00,
2018-2-9 00:00:00,null,0.00,
2018-2-10 00:00:00,0.252,37.38,
2018-2-11 00:00:00,null,0.00,
2018-2-12 00:00:00,null,0.00,
2018-2-13 00:00:00,0.239,77.74,
2018-2-14 00:00:00,null,0.00,
2018-2-15 00:00:00,null,0.00,
2018-2-16 00:00:00,null,0.00,
2018-2-17 00:00:00,null,0.00,
2018-2-18 00:00:00,0.173,26.16,
2018-2-19 00:00:00,null,0.00,
2018-2-20 00:00:00,null,0.00,
2018-2-21 00:00:00,0.225,37.29,
2018-2-22 00:00:00,null,0.00,
2018-2-23 00:00:00,null,0.00,
2018-2-24 00:00:00,0.218,52.71,
2018-2-25 00:00:00,null,0.00,
2018-2-26 00:00:00,null,0.00,
2018-2-27 00:00:00,null,0.00,
2018-2-28 00:00:00,null,0.00,
2018-3-1 00:00:00,0.188,75.01,
2018-3-2 00:00:00,null,0.00,
2018-3-3 00:00:00,0.187,26.93,
2018-3-4 00:00:00,null,0.00,
2018-3-5 00:00:00,null,0.00,
2018-3-6 00:00:00,0.238,37.45,
2018-3-7 00:00:00,null,0.00,
2018-3-8 00:00:00,null,0.00,
2018-3-9 00:00:00,0.205,78.53,
2018-3-10 00:00:00,null,0.00,
2018-3-11 00:00:00,0.177,75.50,
2018-3-12 00:00:00,null,0.00,
2018-3-13 00:00:00,null,0.00,
2018-3-14 00:00:00,null,0.00,
2018-3-15 00:00:00,null,0.00,
2018-3-16 00:00:00,null,0.00,
2018-3-17 00:00:00,null,0.00,
2018-3-18 00:00:00,null,0.00,
2018-3-19 00:00:00,null,0.00,
2018-3-20 00:00:00,0.214,50.24,
2018-3-21 00:00:00,null,0.00,
2018-3-22 00:00:00,null,0.00,
2018-3-23 00:00:00,null,0.00,
2018-3-24 00:00:00,null,0.00,
2018-3-25 00:00:00,0.188,77.06,
2018-3-26 00:00:00,null,0.00,
2018-3-27 00:00:00,0.166,26.85,
2018-3-28 00:00:00,null,0.00,
2018-3-29 00:00:00,null,0.00,
2018-3-30 00:00:00,0.222,37.62,
2018-3-31 00:00:00,null,0.00,
2018-4-1 00:00:00,null,0.00,
2018-4-2 00:00:00,0.221,80.39,
2018-4-3 00:00:00,null,0.00,
2018-4-4 00:00:00,0.223,77.62,
2018-4-5 00:00:00,null,0.00,
2018-4-6 00:00:00,null,0.00,
2018-4-7 00:00:00,0.240,28.23,
2018-4-8 00:00:00,null,0.00,
2018-4-9 00:00:00,null,0.00,
2018-4-10 00:00:00,0.258,22.39,
2018-4-11 00:00:00,null,0.00,
2018-4-12 00:00:00,null,0.00,
2018-4-13 00:00:00,0.280,51.55,
2018-4-14 00:00:00,null,0.00,
2018-4-15 00:00:00,null,0.00,
2018-4-16 00:00:00,null,0.00,
2018-4-17 00:00:00,null,0.00,
2018-4-18 00:00:00,0.259,79.00,
2018-4-19 00:00:00,null,0.00,
